episode_id,blue_cube_count,progress_stage,num_remaining,target_index,successful,x_m,y_m,z_m,position_stratum,tray_x_m,tray_y_m
episode_000001,2,0,2,0,True,0.5506641908825622,0.16257875612248546,0.026,16,0.51,-0.16525924989546875
episode_000001,2,0,2,1,True,0.4613446499054541,0.017832016916893585,0.026,9,0.51,-0.16525924989546875
episode_000003,2,1,1,1,True,0.46695499305621513,0.0047470367577214,0.026,9,0.51,-0.1830017277641439
episode_000004,2,0,2,0,True,0.5219448213394675,-0.10877348202333237,0.026,13,0.51,0.199856978609068
episode_000004,2,0,2,1,True,0.48038893692665513,-0.239095734600489,0.026,6,0.51,0.199856978609068
episode_000005,1,0,1,0,True,0.5079864672480693,0.14879002893632454,0.026,10,0.51,-0.16525924989546875
episode_000007,2,1,1,1,True,0.4629816747683907,0.1422856236473535,0.026,10,0.51,-0.1830017277641439
episode_000008,1,0,1,0,True,0.4862288726990995,-0.01028629391956272,0.026,8,0.51,0.199856978609068
episode_000009,2,0,2,0,True,0.5679286014910818,0.040369182424164735,0.026,15,0.51,-0.16525924989546875
episode_000009,2,0,2,1,True,0.4455276304219549,0.19070663549887856,0.026,10,0.51,-0.16525924989546875
episode_000010,1,0,1,0,True,0.4506250417882503,-0.06384620080051694,0.026,8,0.51,0.21146746279684422
episode_000011,2,0,2,0,False,0.5782246460245781,0.227005451288032,0.026,17,0.51,-0.1830017277641439
episode_000011,2,0,2,1,False,0.5140306217593655,-0.00508994930578735,0.026,8,0.51,-0.1830017277641439
episode_000012,1,0,1,0,True,0.4711591424357361,-0.24685364054954134,0.026,6,0.51,0.199856978609068
episode_000013,1,0,1,0,True,0.47533515158392137,0.04600111382623375,0.026,9,0.51,-0.16525924989546875
episode_000014,2,0,2,0,True,0.6134183513173522,-0.22956823940846266,0.026,18,0.51,0.21146746279684422
episode_000014,2,0,2,1,True,0.3795667381402382,-0.06052740813755865,0.026,2,0.51,0.21146746279684422
episode_000016,1,0,1,0,True,0.4542437437513243,0.01219416646347361,0.026,9,0.51,0.199856978609068
episode_000019,1,0,1,0,True,0.6046214313076146,0.12125496960567006,0.026,22,0.51,-0.1830017277641439
episode_000020,1,0,1,0,True,0.5892658609477541,-0.093830039530938,0.026,20,0.51,0.199856978609068
episode_000021,2,0,2,0,True,0.6357275870663478,0.18754884511043435,0.026,22,0.51,-0.16525924989546875
episode_000021,2,0,2,1,True,0.43695907110803395,0.01636351527490901,0.026,3,0.51,-0.16525924989546875
episode_000022,1,0,1,0,True,0.6068564131094781,-0.00958408061480423,0.026,20,0.51,0.21146746279684422
episode_000023,1,0,1,0,True,0.5942434171658536,0.28042368819548724,0.026,23,0.51,-0.1830017277641439
episode_000024,1,0,1,0,False,0.6257660366640966,-0.22568118827731132,0.026,18,0.51,0.199856978609068
episode_000027,1,0,1,0,True,0.6089647542491702,0.056997464836574925,0.026,21,0.51,-0.1830017277641439
episode_000028,1,0,1,0,True,0.4098649731314225,-0.16441666839069435,0.026,1,0.51,0.199856978609068
episode_000029,2,0,2,0,True,0.6435478516916596,0.08752688685057841,0.026,21,0.51,-0.16525924989546875
episode_000029,2,0,2,1,True,0.39240375683874074,0.2934607965667356,0.026,5,0.51,-0.16525924989546875
episode_000031,2,1,1,0,True,0.5998402524439566,-0.00809578802555129,0.026,20,0.51,-0.1830017277641439
episode_000033,2,0,2,0,True,0.609354454645434,0.0380107609962878,0.026,21,0.51,-0.16525924989546875
episode_000033,2,0,2,1,True,0.43551898457102944,0.10185502458516021,0.026,4,0.51,-0.16525924989546875
episode_000034,1,0,1,0,False,0.37412680434632484,-0.01582787299029144,0.026,2,0.51,0.21146746279684422
episode_000037,1,0,1,0,True,0.4111102683957418,0.2465653131770768,0.026,5,0.51,-0.16525924989546875
episode_000038,2,0,2,0,True,0.6144016902484433,-0.2899587796422029,0.026,18,0.51,0.21146746279684422
episode_000038,2,0,2,1,True,0.3865381983218069,-0.19170990713095012,0.026,1,0.51,0.21146746279684422
episode_000039,1,0,1,0,True,0.3918132240522197,0.2320497806937618,0.026,5,0.51,-0.1830017277641439
episode_000040,1,0,1,0,True,0.41993021989942575,-0.21712327179701446,0.026,0,0.51,0.199856978609068
episode_000041,2,0,2,0,True,0.4528237752122214,0.12173545116901864,0.026,10,0.51,-0.16525924989546875
episode_000041,2,0,2,1,True,0.5798731819891906,0.012918755268035317,0.026,15,0.51,-0.16525924989546875
episode_000042,2,1,1,1,True,0.5839438765839371,0.009762149267377894,0.026,15,0.51,0.21146746279684422
episode_000043,1,0,1,0,True,0.4299962482316017,0.05544960734708218,0.026,3,0.51,-0.1830017277641439
episode_000044,1,0,1,0,True,0.5772937079305912,-0.11582147187583239,0.026,13,0.51,0.199856978609068
episode_000047,1,0,1,0,True,0.5219727259377304,0.11349843118810267,0.026,16,0.51,-0.1830017277641439
episode_000049,1,0,1,0,True,0.5228709266703666,0.2757920798204857,0.026,17,0.51,-0.16525924989546875
episode_000053,2,0,2,0,True,0.4508185357705024,0.019248397429341695,0.026,9,0.51,-0.16525924989546875
episode_000053,2,0,2,1,True,0.5838493317076885,0.2787788893530614,0.026,17,0.51,-0.16525924989546875
episode_000054,1,0,1,0,True,0.5443949469400382,-0.23756607177433586,0.026,12,0.51,0.21146746279684422
episode_000055,2,0,2,0,True,0.4956109809279674,-0.006387942063710711,0.026,8,0.51,-0.1830017277641439
episode_000055,2,0,2,1,True,0.5696338882487906,0.18461899839740215,0.026,16,0.51,-0.1830017277641439
